end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10
mantis mantisbt fogbugz bugzilla trac redmine youtrack jira zephyr phabricator testlink otrs reviewboard testopia crucible confluence tuleap websvn phplist gforge osticket

itunes itune appstore itunesconnect testflight itc icloud keychain playstore spotify facebook dropbox apple iap fb skype diawi iphone organizer xcode instagram

bitmask bit-mask bitfield bitmasks 1-bit bitvector bitset 4-bit bitarray bitwise-or 2-bit one-bit mask bitwise-and bit-wise bitshifts bit-shifts msb 3-bit sign-bit four-bit

targeting targetting targeted referencing supporting targetted utilizing talking using. referring refering emulating supported using requesting accessing seeing building developing experiencing deploying

pre-increment post-increment preincrement postincrement pre-decrement ++i post-decrement a++ ++a i-- ++x i++ ++p variable++ var++ x++ pre-incrementation p++ ++ post-incrementing ++var

sass scss .less gulp .scss coffeescript codekit less.js compass webpack lesscss grunt postcss haml gulp-sass autoprefixer jade babel stylus gulp-ruby-sass css-loader

glr recursive-descent earley scannerless operator-precedence jison packrat lexers charniak yacc-like menhir bison-generated boost.spirit ocamlyacc sax-based javacc parser-generator fparsec bllip pcfg sax-style

spawn spawns spawning spawned spwan kill respawn spin re-spawn terminate demonize forks daemonize supervise respawns respawned spawing initiate spawner launch workermanager

csla csla.net catel reactiveui spring.net fluentvalidation llblgen cairngorm ef4 nettiers coldbox ncommon wwf devforce daab caliburn.micro entlib mvvm-light wcsf entity-framework commondomain

divide multiply dividing devide divides divided multiplying multiplied multiplies split multipy mutiply devided multiplicate multipled integer-divide decompose deviding devides divde mutliply

classification multiclass multi-class multi-label multilabel svm classifier two-class k-nn categorization lda knn classifying 2-class one-class svms adaboost bayes maxent naivebayes multinomialnb

xelement xdocument xmlnode xmldocument xmlnodelist xmlelement xpathnavigator xmlreader htmldocument xpathdocument xattribute xmltextreader xmllist xname xmlwriter xnode xmltextwriter xpathnodeiterator xmlserializer expandoobject xdoc

strptime strftime as.posixct mktime datetime.strptime time.strptime as.date as.posixlt datetime.datetime.strptime datetime.strftime strtotime time.strftime localtime time.mktime gmdate time.parse dateutil.parser.parse difftime datenum to_datetime date_parse_from_format

ui.bootstrap ngmaterial ngsanitize ui-bootstrap nganimate angular-ui-bootstrap ngtouch ngroute ngcookies angular-bootstrap ng2-bootstrap angular-route ui.grid ngmessages angular-strap angular-animate ngmock ui.router angularfileupload angular-material angular-sanitize

base62 base32 base36 base-32 base58 decode_utf8 base-62 ascii85 base16 url-safe base-64 base_64 base64url base-36 b64 base-85 base85 base-128 unicode-escape bas64 run-length

replace replaces replacing surround substitute prepend append replaced concatenate remove overwrite wrap compare enclose add rename associate relace grab combine assign

nsmutabledata nsdata nsmutablestring receiveddata nsinputstream cfdata nsmutabledictionary nsmutableurlrequest nsoutputstream nsurlrequest nsurlresponse cfdataref cgdataprovider responsedata audiobuffer avasset mutablearray avurlasset nsurl uint8array arraybuffer

substr instr charindex substring_index strpos substring patindex str_replace rtrim strrpos substr_replace preg_replace preg_match str_pad str_split ltrim lpad indexof string.substring strstr strlen

findandmodify findoneandupdate findbyidandupdate updateone findone upsert find_one geonear .findoneandupdate find_and_modify findandupdate ensureindex setoninsert collection.insert insertone upserts db.collection.update update_all addtoset .findone get_or_insert

celerybeat celeryd celery resque periodictask supervisord crond apscheduler rufus delayed_job sidekiq bluepill django-celery pserve celerycam scrapyd gearmand celery-beat delayedjob monit airflow

r-tree octree rtree kd-tree r-trees kd-trees oct-tree quadtrees quadtree octtree quad-tree b-trees octrees b+tree m-tree kdtree rb-tree b-tree boost.geometry x-tree array-based

getproperties getcustomattributes type.getproperties getmethods getfields getproperty getmethod getmembers type.getmethods getdeclaredfields type.getmethod type.getproperty getdeclaredmethods typedescriptor.getproperties getinterfaces makegenericmethod getdeclaredmethod getowner gettype getattributes getmember

cassini casini iis7 iis6 iis7.5 iis8 kestrel iis-express ii7 ultidev iis iisnode iisexpress webmatrix xsp4 lighttpd webrick ii6 iis10 iis6.0 iis8.5

xmlserializer datacontractserializer binaryformatter datacontractjsonserializer javascriptserializer json.net xmlserialization xmlwriter serializer jsonconvert xmltextwriter xmlreader xdocument protobuf-net xmldocument xmlattributeoverrides netdatacontractserializer system.xml.serialization.xmlserializer datacontract xstream xmltextreader

forums forum blogs stackoverflow discussions documentations postings tutorials topics sof stackexchange articles guides s.o forums. faqs manuals stack-overflow mailing fora forum.

ord unichr chr eq typeclass frominteger fromenum fmap rord toenum chrw fromintegral repr str charcodeat monoid num hexdec divmod dechex ascw

landscape portrait potrait portait lanscape landscape-mode landscape. protrait landscape-right fullscreen landscapeleft landscap upsidedown landscaperight landspace landscape-left portrait- portrate portraitupsidedown orientation full-screen

plot plots scatterplot boxplot heatmap barplot plotting histogram scatter ploted plot. plotted chart log-log legend ggplot barchart scatterplots subplot re-plot trisurf

scaffolding scaffold gii scaffolder scaffolded scaffolds yeoman t4mvc htmlhelpers jhipster roo mvcscaffolding wizards sonataadminbundle mogenerator angular-fullstack angular-cli yoeman codesmith flask-admin t4

elementtree minidom etree lxml.etree xml.etree.elementtree xml.dom.minidom xml.etree celementtree lxml lxml.html htmlparser iterparse html5lib xml.dom feedparser jdom simplexml pyparsing libxml rexml configparser

jackson-module-scala jackson-dataformat-xml jackson-datatype-joda jackson-annotations jackson-databind jackson-core com.fasterxml.jackson.core fasterxml com.fasterxml.jackson.datatype protobuf-java com.typesafe.play com.fasterxml jackson-jaxrs-json-provider jackson-datatype-jsr310 net.sf.json-lib jackson-mapper-asl com.typesafe.akka groovy-all aws-java-sdk jackson-core-asl json-lib

swingx jxtable swinglabs glazedlists jide jxdatepicker jxlayer jdatepicker jcalendar jxtreetable controlsfx jfxtras flamingo jvcl jdesktop graphics32 gwt-ext richtextfx autocompletedecorator jgoodies nebula

fstream ofstream ifstream istream iostream ostream filebuf fstreams ostringstream qfile wfstream stringstream wifstream wofstream basic_filebuf qtextstream iostreams cfile istringstream istreambuf_iterator streambuf

shebang she-bang hash-bang shbang tcsh shebangs csh script.py makefile.pl tclsh mvim procfile .bash_profile .profile shell-script build.py crontab hashbang yourscript file.sh ksh

teraterm hyperterminal minicom realterm picocom gtkterm xctu cutecom hyperterm hercules securecrt termite putty xming x-ctu mobaxterm com4 hyper-terminal com1 teamviewer rdesktop

unroll unrolling unrolls vectorize auto-vectorize unrolled vectorise autovectorize parallelise vectorizes parallelize unswitching vectorizing double-for hoist precompute parallize vectorising optimise for-range interleave

backgroundworker swingworker dispatchertimer bgw system.timers.timer threadpool system.threading.timer timertask system.windows.forms.timer begininvoke scheduledexecutorservice reportprogress parallel.foreach asynctask qtimer manualresetevent dispatcher.invoke task.run dowork threadpool.queueuserworkitem progresschanged

webshim webshims modernizer es5-shim selectivizr fakesmile webcomponents.js html5shiv polyfill modernizr respond.js filesaver.js fastclick picturefill matchmedia blob.js touchpunch svgweb html5shim es5shim jquery.ui

nerdcommenter easymotion vim-go snipmate matchit clang_complete autocomplpop supertab syntastic dbext pathogen unimpaired csapprox vcscommand surround.vim delimitmate vundle ultisnips jedi-vim emacs+ rails.vim

precompiled pre-compiled prebuilt precomiled freetype2 precompiled.h statically-linked compiled libz.a .dll.a vc90 libpng opencl.lib pdbs separately-compiled fpic precomplied .lib non-precompiled libbz2 libzip

passport passportjs passport.js passport-local passport-facebook everyauth express-session passport-saml auth0 omniauth passport-jwt satellizer connect-mongo localstrategy express-jwt passport.socketio passport-local-mongoose passport-google-oauth ember-simple-auth cookie-session mongoose-auth

tokenize tokenise tokenizes tokenizing tokenising explode tokenizer nltk.word_tokenize tokenized whitespace-delimited lemmatize string.split tokenised delimit spilt preprocess split .split tokeniser str.split pre-process

part-of-speech parts-of-speech tagger taggers ner treebank brill chunker hunpos nltk.pos_tag pos-tagging ssplit penn unigram pos-tagger tagset collocations unigramtagger postagger sentiwordnet annotator

dispatchertimer system.timers.timer system.windows.forms.timer system.threading.timer dispatchtimer javax.swing.timer windows.forms.timer system.timer cadisplaylink backgroundworker qtimer timertask threading.timer ttimer system.windows.threading.dispatchertimer stopwatch scheduledexecutorservice wx.timer countdowntimer forms.timer nstimer

preview previews preview. priview screenshot video viewer fullscreen thumbnail gallery toolbar picture pdf popup screen previewing previewer full-screen landscape photo dashboard

tell inform know explain instruct tells understand see teach convince remember telling determine remind informs decide discover ask detect assure told

fastcgi fcgi lighttpd php-fpm mod_php fast-cgi uwsgi mod_wsgi fpm cgi mod_perl fcgid wsgi nginx mod_fastcgi hhvm php-cgi suphp ngnix mod_python httpd

swap swapping swaps swapped move reorder flip lay compare zeroing carry shuffle rearrange fade swaping jump concatenate switch print fill allocate

fractions decimals fraction exponents rationals hundredths fractional base-10 numbers decimals. integers remainders mantissa reals doubles bigdecimals tenths non-integers polynomials floats logarithms

laravel codeigniter cakephp yii kohana larvel symfony2 zf2 lumen laraval larval rails symfony phalcon yii2 larave lavarel laravels laravel4 codeignitor zend

adler32 adler-32 crc32 crc-32 crc32b crc16 crc64 crc32c crc-16 md4 crc-8 djb2 sha-256 sha256 sha-512 sha384 sha-224 sha512 ripemd160 hmac fnv

standardized standardised formalized well-defined conformant standarized compliant ubiquitous interoperable mandated standartized non-standard adopted self-describing widespread standard useable language-independent formalised backwards-compatible well-specified

relay relays relaying unicasting relayed smsc transmit unicast broker esme smtp unicasts gateway listen stmp transport in-bound dhcpoffer forwarder multicasts tunnel

qsort bsearch strcmp memcmp quicksort mergesort bubblesort arrays.sort array.sort usort heapsort sortrows atoi memcpy strcat memmove insertionsort binarysearch strncmp list.sort strstr

focusout focusin onblur .blur onfocus keyup .focusout .keyup .change onkeyup onkeypress oninput dblclick .keypress .focus lostfocus onpaste gotfocus ng-blur mouseleave mouseenter
